"","X","Encuestadora","psoe","pp","up","cs","vox"
"67",67,"Append",0,0,0,0,0
"68",68,"Iberconsulta",-0.96,0,0,0,0
"69",69,"Metra Seis",-0.94,0,0,0,0
"70",70,"Gallup",-0.15,0,0,0,0
"71",71,"Vox Pública",-0.11,0,0,0,0
"72",72,"Ipsos–Eco",0.35,0,0,0,0
"73",73,"Citigate Sanchís",-0.14,0,0,0,0
"74",74,"Atento STC",0,0,0,0,0
"75",75,"Ibecom",-0.56,0,0,0,0
"76",76,"La Vanguardia",-1.16,0,0,0,0
"77",77,"Opitel",0.26,0,0,0,0
"78",78,"Demoscopia",-0.28,0,0,0,0
"79",79,"Eco Consulting",-0.56,0,0,0,0
"80",80,"DECO",0.72,0,0,0,0
"81",81,"Inner Line",0,0,0,0,0
"82",82,"Sigma Dos–Vox Pública",-0.43,0,0,0,0
"83",83,"Imagen & Opinión",0,0,0,0,0
"84",84,"Gruppo",-0.72,0,0,0,0
"85",85,"OTR–IS",-0.75,0,0,0,0
"86",86,"Iope–Etmar",1.79,0,0,0,0
"87",87,"Vox Pública–Iope",0.3,0,0,0,0
"88",88,"Diario 16",0,0,0,0,0
"89",89,"ICP–Research",0.09,0,0,0,0
"90",90,"Ábaco",0,0,0,0,0
"91",91,"Emopública",-0.77,0,0,0,0
"92",92,"Emopública–Burke",-0.53,0,0,0,0
"93",93,"Sofemasa",2.18,0,0,0,0
"94",94,"ECO",-0.21,0,0,0,0
"95",95,"Telemarket",0,0,0,0,0
"96",96,"OTR–Press",0,0,0,0,0
"97",97,"Aresco",-0.52,0,0,0,0
"98",98,"Perfiles",-0.58,0,0,0,0
"99",99,"Line Staff",0,0,0,0,0
"100",100,"TC–Sigma Dos",0,0,0,0,0
"101",101,"Typol",0.17,0,0,0,0
"102",102,"AP",-1.55,0,0,0,0
"103",103,"TC",0.6,0,0,0,0
"104",104,"Alef",3.99,0,0,0,0
"105",105,"Ideal",0,0,0,0,0
"106",106,"ICSA–Gallup",0.3,0,0,0,0
"107",107,"El País",0,0,0,0,0
"108",108,"Tiempo",0,0,0,0,0
"109",109,"CEF",0,0,0,0,0
"110",110,"SFGPP",0,0,0,0,0
"111",111,"Equipo Eidos",0,0,0,0,0
"112",112,"RNC",0,0,0,0,0
"113",113,"ANA",-0.4,0,0,0,0
"114",114,"Tecnia",0,0,0,0,0
