"","polling_firm","pollster","firm","sample_size","fieldwork_date","end_date","e_day","days_left","turnout","lead","PSOE","PP","Vox","Unidas Podemos","Cs","ERC–Sobiranistes","Más País","JxCat","PNV","EH Bildu","CUP","CC–NCa","BNG","NA+","PRC","headline","source"
"237","ElectoPanel/Electomanía","ElectoPanel","Electomanía",1250,"29 Dec–2 Jan 2020",2020-01-02,2023-12-10,1438,"",6.9,26.8,19.9,16.7,14.2,6.6,3.4,1.8,2.6,1.6,1.2,0.9,0.5,0.5,0.4,0.3,"ElectoPanel (3e2020): subida de Vox, que roza los 60 escaños y UP, que roza los 40","https://electomania.es/electopanel-3e2020-subida-de-vox-que-roza-los-60-escanos-y-up-que-roza-los-40/"
"238","ElectoPanel/Electomanía","ElectoPanel","Electomanía",1250,"25–28 Dec 2019",2019-12-28,2023-12-10,1443,"",6.2,26.6,20.4,16.2,13.7,6.8,3.3,1.6,2.6,1.6,1.2,0.8,0.5,0.5,0.4,0.3,"ElectoPanel (29D): sigue el empate entre bloques. Bajan Cs y Vox, suben UP y PP","https://electomania.es/ep29d/"
"239","Sigma Dos/El Mundo","Sigma Dos","El Mundo",1000,"26–27 Dec 2019",2019-12-27,2023-12-10,1444,"",7.4,27.5,20.1,16,15.4,4.8,3.5,2.3,2,1.6,NA,NA,NA,NA,NA,NA,"La polarización dispara a Vox y Unidas Podemos a costa de PP y PSOE","https://www.elmundo.es/espana/2020/01/02/5e0cde3dfdddffaa548b459f.html"
"240","KeyData/Público","KeyData","Público",NA,"23 Dec 2019",2019-12-23,2023-12-10,1448,"74.3",6,26.4,20.4,15,12.8,6,3.4,1.8,1.9,1.5,1.1,NA,0.5,NA,NA,NA,"El pacto Sánchez-Iglesias no penalizaría a la izquierda en unas nuevas elecciones","https://www.publico.es/politica/encuestas-electorales-pacto-sanchez-iglesias-no-penalizaria-izquierda-nuevas-elecciones.html"
"241","SocioMétrica/El Español","SocioMétrica","El Español",2160,"20–21 Dec 2019",2019-12-21,2023-12-10,1450,"",5.6,27.2,21.6,16.2,12.6,5.8,3.8,2,2.6,1.8,1.1,0.9,0.6,0.5,0.3,0.3,"Vox superaría el 16% y rozaría los 60 escaños si se celebrasen unas terceras elecciones","https://www.elespanol.com/espana/politica/20191223/vox-superaria-rozaria-escanos-celebrasen-terceras-elecciones/453955181_0.html"
"242","ElectoPanel/Electomanía","ElectoPanel","Electomanía",1250,"17–19 Dec 2019",2019-12-19,2023-12-10,1452,"",6.6,26.7,20.1,16.6,13.4,7.3,3.3,1.9,2.6,1.6,1.2,0.8,0.5,0.5,0.4,0.3,"ElectoPanel (19D): vuelve el empate entre bloques. Teruel Existe continúa siendo primera fuerza en su provincia","https://electomania.es/electopanel-19d-vuelve-el-empate-entre-bloques-teruel-existe-continua-siendo-primera-fuerza-en-su-provincia/"
"243","CIS","CIS",NA,4800,"29 Nov–19 Dec 2019",2019-12-19,2023-12-10,1452,"",8.3,28.3,20,15.2,12.8,5.6,3.6,2.3,2.2,1.6,1.1,1,0.5,0.5,0.4,0.3,"Barómetro de diciembre 2019. Postelectoral elecciones generales 2019 (Estudio nº 3269. Noviembre-diciembre 2019)","http://datos.cis.es/pdf/Es3269marMT_A.pdf"
"244","NC Report/La Razón","NC Report","La Razón",1000,"10–13 Dec 2019",2019-12-13,2023-12-10,1458,"64.9",5.5,27.1,21.6,15.6,13.1,5.8,3.5,2,2.3,1.5,1.1,1.1,0.5,0.5,0.5,0.3,"ERC penaliza a Sánchez","https://www.larazon.es/espana/20191215/wesbuuc4dbb5rjcl6levueatvy.html"
"245","Invymark/laSexta","Invymark","laSexta",NA,"9–13 Dec 2019",2019-12-13,2023-12-10,1458,"",7.2,28.8,21.6,16.4,13.7,3.9,NA,1.9,NA,NA,NA,NA,NA,NA,NA,NA,"Barómetro de laSexta: el PSOE volvería a ganar las elecciones generales y Ciudadanos sufriría otra gran caída","https://www.lasexta.com/noticias/nacional/barometro-de-lasexta-el-psoe-volveria-a-ganar-las-elecciones-generales-y-ciudadanos-sufriria-otra-gran-caida_201912155df63b7c0cf22f4755c8171b.html"
"246","ElectoPanel/Electomanía","ElectoPanel","Electomanía",1250,"10–12 Dec 2019",2019-12-12,2023-12-10,1459,"",7,26.6,19.6,16.6,13.7,7.6,3.2,1.8,2.7,1.6,1.1,0.7,0.5,0.5,0.4,0.3,"ElectoPanel (12/12): el bloque de otros partidos, cada vez más grande. ERC adelanta a Junts en su lucha por el dominio catalán","https://electomania.es/ep12dic/"
"247","Simple Lógica","Simple Lógica",NA,1064,"2–12 Dec 2019",2019-12-12,2023-12-10,1459,"64.9",6.5,27,20.5,13.8,16.4,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Resultado de las Elecciones, intención de voto y valoración de líderes (diciembre 2019)","https://www.simplelogica.com/es/resultado-de-las-elecciones-intencion-de-voto-y-valoracion-de-lideres-diciembre-2019/"
"248","ElectoPanel/Electomanía","ElectoPanel","Electomanía",1250,"3–5 Dec 2019",2019-12-05,2023-12-10,1466,"",7.3,26.8,19.5,16.5,13.8,7.1,3.1,1.7,2.8,1.6,1.1,0.7,0.5,0.5,0.4,0.3,"ElectoPanel (5Dic): empate entre bloques. Sánchez se recupera, Ciudadanos vuelve a bajar","https://electomania.es/ep5dic/"
"249","ElectoPanel/Electomanía","ElectoPanel","Electomanía",1250,"21–27 Nov 2019",2019-11-27,2023-12-10,1474,"",7,26.3,19.3,16.7,13.6,7.7,3.5,2.1,2.5,1.6,1.2,0.9,0.5,0.5,0.4,0.3,"ElectoPanel (28N): Vox a 2,5 puntos del sorpasso al PP. Ciudadanos empata con ERC a escaños","https://electomania.es/ep28n/"
"250","GAD3/ABC","GAD3","ABC",NA,"19–27 Nov 2019",2019-11-27,2023-12-10,1474,"",4.7,27.7,23,14.1,13,6.5,3.4,1.8,2,1.6,1,1,0.5,0.7,0.4,0.2,"El PSOE retrocede tras el 10-N y el PP gana 10 escaños con Vox a la baja","https://www.abc.es/espana/abci-psoe-retrocede-tras-10-n-y-pp-gana-10-escanos-baja-201912010218_noticia.html"
"251","ElectoPanel/Electomanía","ElectoPanel","Electomanía",1250,"13–20 Nov 2019",2019-11-20,2023-12-10,1481,"",6.3,26.4,20.1,16.3,13.6,7.3,3.6,2.1,2.2,1.6,1.1,1,0.5,0.5,0.4,0.3,"ElectoPanel (21N): Vox supera el 16% y roza los 60 escaños. Ligera recuperación de Ciudadanos","https://electomania.es/ep21n/"
"252","ElectoPanel/Electomanía","ElectoPanel","Electomanía",1510,"12 Nov 2019",2019-11-12,2023-12-10,1489,"",6.1,27.5,21.4,15.6,13.7,5.8,3.6,2,2.2,1.6,1.2,1,0.5,0.5,0.4,0.3,"ElectoPanel (14N): Ciudadanos, desplomado, lucharía por mantener representación en el Congreso (y por el grupo propio)","https://electomania.es/ep14n/"
